Tang,h_ref,P_mean_Pa,sigma_P_Pa,T_mean_C,h_meas_m,e_h_m,e_h_percent
1,0.0,101011.75,1.855,33.79,0.0,0.0,0.0
2,3.5,100961.36,0.536,34.31,4.207,0.707,20.2
3,7.0,100920.85,0.269,34.78,7.59,0.59,8.4
4,10.5,100875.18,1.578,34.94,11.405,0.905,8.6
5,14.0,100806.84,2.089,35.22,17.116,3.116,22.3
